x,y
-0.4033124132454972,-0.40032250349365417
-0.3966140567969112,-0.400331141352208
-0.39270603614407423,-0.4002384937465526
-0.38600810805618263,-0.39902188729489474
-0.38222412827289076,-0.39825540373909984
-0.37813756966402196,-0.3969434299239374
-0.374655841579504,-0.3955281039445509
-0.370176139608107,-0.3939713653917461
-0.3657911030947337,-0.3921400798963014
-0.3614634674550945,-0.39002175913645126
-0.35722396299929976,-0.387695537413306
-0.353084058106122,-0.3852036815549654
-0.34903958221208586,-0.3825647628010463
-0.3450858683336675,-0.37979501974093116
-0.34121801737247587,-0.37690871134583015
-0.33743084433866427,-0.37391811376299355
-0.3337182185957415,-0.37083264274789546
-0.3300759116177215,-0.36766273820675593
-0.3264997909711254,-0.3644177636030277
-0.3229856662285152,-0.36110582677603326
-0.3195294075504286,-0.35773397817058955
-0.31612702204820736,-0.35430837500245627
-0.3127747006329004,-0.3508344168279095
-0.30946943343981353,-0.34731751040964837
-0.3062089312063312,-0.34376312364363926
-0.30299054345176246,-0.34017565293000657
-0.299811169902192,-0.33655831827009547
-0.29666732969639886,-0.3329132437716495
-0.2935553590892694,-0.3292417073283132
-0.2904716895530539,-0.32554451228067305
-0.28741314017574193,-0.32182240243201327
-0.2847635563794881,-0.31774916709573486
-0.281839189895122,-0.3138577862021111
-0.27865969792849976,-0.31012733820020705
-0.2753003871736571,-0.3065956627395888
-0.27182131038656565,-0.30327334475612017
-0.2681899632403323,-0.3001018001155766
-0.26443079495207733,-0.29707367560298886
-0.26056936684546383,-0.29418270049128786
-0.25661875688774216,-0.2914182147568404
-0.2525902164622498,-0.2887702638020851
-0.24849299778054204,-0.28622940603264574
-0.244333506335602,-0.2837864151820836
-0.2401202797728551,-0.281433691503645
-0.23586073864166932,-0.2791640732553425
-0.23156105995364365,-0.2769707905409886
-0.2272264141061656,-0.27484751449044253
-0.22286115756900507,-0.272788375584292
-0.2184695999991784,-0.27078822533018626
-0.21405655096728543,-0.26884276334036034
-0.20962569471838413,-0.2669477650680646
-0.20517937081105564,-0.2650989833427098
-0.20071865878773035,-0.2632921757807212
-0.19624367509679563,-0.26152320477267665
-0.19175402621370785,-0.25978818093504247
-0.1872493219116184,-0.2580836122577316
-0.1827296361572276,-0.2564065210867142
-0.1781958138583631,-0.25475449928639904
-0.1736495568689807,-0.25312568643080674
-0.1690932737891716,-0.2515186734089077
-0.16452973308292063,-0.2499323505550104
-0.15996160493304534,-0.24836573169852674
-0.15539100321175406,-0.2468177907025036
-0.15081913872171085,-0.24528734400851954
-0.14624616835409418,-0.24377300213658723
-0.14167127819530165,-0.24227319741828193
-0.13685033619917733,-0.24143830101204844
-0.13211814455535104,-0.24013055772930225
-0.1274561558066209,-0.23837164910222094
-0.12383673948190743,-0.23650747943532796
-0.12201311860880447,-0.23498863143549384
-0.11807819115639788,-0.23311503194677552
-0.11389373559414519,-0.23084493019807484
-0.10984670523393084,-0.22823166405184334
-0.10601251029520506,-0.22544053572021763
-0.10234907775788467,-0.2224239098151692
-0.09884864003508678,-0.2192138426484977
-0.0954855322687029,-0.21579796951265132
-0.09224900398811417,-0.21222025651828685
-0.08914049322557008,-0.20853341549639556
-0.08615112175376471,-0.20475048287417041
-0.08327251815921195,-0.20088289437255316
-0.08049656398906865,-0.19694013827466908
-0.07781511613748629,-0.19292902701143635
-0.07522168141900477,-0.1888584749565261
-0.07271000098120564,-0.1847361537758832
-0.07027405271339593,-0.1805684674125067
-0.06790813399765967,-0.17636081025905181
-0.06560690264341987,-0.1721177677779469
-0.063365498791922,-0.16784348878603036
-0.061179961856675305,-0.16354270215459335
-0.059046555975184364,-0.15921953611535955
-0.056961462185271136,-0.1548769143909476
-0.054920774477165146,-0.15051654446125845
-0.05292058145593957,-0.14613910873687241
-0.05095710916623906,-0.14174462678468427
-0.04902688757741174,-0.13733291331040454
-0.046956719610799315,-0.13297169148660687
-0.04503262049111622,-0.12853597212068216
-0.04323967877986075,-0.12403146794798958
-0.041565954472655,-0.11946656104366399
-0.04001031140193187,-0.11488145244055935
-0.038563409527419205,-0.11028891108216506
-0.03720772520962223,-0.10566658234893433
-0.03593503846661542,-0.10101892953617954
-0.03473781051278988,-0.09634977080866243
-0.03360919907142382,-0.09166267773679486
-0.03254317486622821,-0.08696189352829321
-0.03153416115639156,-0.08225100576023049
-0.030576903235253396,-0.0775323651664983
-0.029666453870329654,-0.07280701628560167
-0.02879819668713699,-0.06807488548604496
-0.027967889098296513,-0.06333517837707309
-0.027171706192240717,-0.058586894106937265
-0.026406269543640306,-0.05382933956719479
-0.02566864983313409,-0.04906252812731508
-0.02495632650414675,-0.04428737836493497
-0.02426708223892524,-0.03950568914811741
-0.023599099087984052,-0.034719856661282855
-0.022950791979014645,-0.0299324586620223
-0.02232068659440676,-0.02514575145132983
-0.021707356410234586,-0.020361219373432184
-0.021109386777600762,-0.015579294970083837
-0.02052536953670783,-0.010799317631578664
-0.019953925257674494,-0.00601974198516941
-0.019393744619721424,-0.0012385480303668556
-0.018843636820223924,0.0035462427382649993
-0.018302571966059014,0.008336066001499467
-0.017769706277936254,0.01313144534737572
-0.017244383168467325,0.017931841274839044
-0.01672610888232789,0.022735753466695353
-0.016214507179221224,0.02754105195054688
-0.015709262245161466,0.03234545904857937
-0.015210061621488413,0.037147068511339754
-0.014716550884469196,0.04194477934365644
-0.014228309113572545,0.046738541803349076
-0.013744849467120557,0.051529357301940096
-0.014064321319304716,0.05644252032325896
