x,y
-0.399417733342601,-0.3966091183648045
-0.39939632608510106,-0.39667912492240454
-0.39946089889899206,-0.3930185919527939
-0.3991482774387791,-0.39028374026960605
-0.3990942697946685,-0.3902201683699291
-0.399057544216859,-0.39016723876386916
-0.39903035631206757,-0.3901084598075517
-0.3987302742258845,-0.38804855882362377
-0.39767414859795297,-0.38399237997889557
-0.3974735759844652,-0.3836226169903452
-0.3973157561117121,-0.38333599058534296
-0.3971299137106218,-0.3828752519848221
-0.3956262038170704,-0.37917905396265156
-0.3945028199746219,-0.3770574983990702
-0.39411837683037654,-0.376559189980093
-0.39376059635236105,-0.37603073149978894
-0.39212714664017506,-0.37311394386206553
-0.3906475162452606,-0.37102347093188887
-0.3900474162215448,-0.3703768829182457
-0.38910459646198875,-0.36914251773971696
-0.38637951561268274,-0.36571325715395747
-0.38436505305676916,-0.36373844898203733
-0.38355517180881654,-0.3629615538612278
-0.38280031565407996,-0.3622235458489719
-0.37953296250601953,-0.3590100599960283
-0.37586613860569457,-0.3562356820108992
-0.37465149075163867,-0.3554623110148685
-0.3735327381768905,-0.35466527919881086
-0.3708816632028722,-0.3527450357285049
-0.36678158788308723,-0.35024280901250254
-0.3626513515246586,-0.34829118252096997
-0.36081301864019755,-0.3475923006462148
-0.359118621905335,-0.34684800619199047
-0.35518775942064956,-0.3450807947264445
-0.3532980665609979,-0.34445367070931326
-0.34877542882530793,-0.34309852908269367
-0.344052932562991,-0.34209303769931265
-0.3398664669206699,-0.34150237332744726
-0.3379575271337387,-0.3413169046882721
-0.3361136936039075,-0.34118745467697237
-0.33419184067661395,-0.34111344122482257
-0.3322670263432588,-0.3411003675890758
-0.3303413343613581,-0.3411520517476537
-0.32841715320729675,-0.34126578257895873
-0.3264969667575846,-0.34144438613099304
-0.3245832484643261,-0.34168796921276656
-0.3198233892706436,-0.34240417512816
-0.3179190638969606,-0.34270844318925797
-0.3160708492701098,-0.34309922565672396
-0.31136987606099903,-0.344147709804269
-0.3066638716165285,-0.34516770554029924
-0.30195305910404385,-0.34616345039091534
-0.3000691799734133,-0.34657084854689635
-0.29539216889227166,-0.34770205607302523
-0.2906986639527879,-0.34879821244577497
-0.28599806343602613,-0.3498620329119864
-0.2812909400016539,-0.35089808619770096
-0.2765782061455475,-0.35190996068721114
-0.2718600797212564,-0.35290045133995757
-0.2671373661289484,-0.3538718460622149
-0.26241112008828865,-0.35482621983900253
-0.25768138649527544,-0.3557653534953699
-0.2529486028494149,-0.35669081520431817
-0.24821314195920405,-0.357603983452342
-0.24347533263019813,-0.35850604272586445
-0.2387355169913656,-0.3593980404681786
-0.23399397893587295,-0.36028089534474006
-0.22925089286902955,-0.361155426938522
-0.22450641260929013,-0.36202237794986075
-0.21976067471712132,-0.3628824238150317
-0.21501380114711993,-0.36373618053309414
-0.21026590132076123,-0.36458421088555004
-0.205517073703263,-0.3654270292344765
-0.20076740698392326,-0.36626510515917404
-0.19601698098461778,-0.36709886627755134
-0.19126586741394153,-0.36792870065098365
-0.1865141305466578,-0.36875495915017154
-0.18176182787809267,-0.369577958048837
-0.17700901078903325,-0.370397981942394
-0.17225572523050456,-0.3712152869236693
-0.1675020123980304,-0.3720301038418018
-0.16274790935013184,-0.3728426414402261
-0.15799344954943853,-0.3736530891989074
-0.15323866332814517,-0.374461619765572
-0.1484835782739526,-0.3752683909238757
-0.14372821953367954,-0.3760735471310602
-0.13900950921936203,-0.3767172365213935
-0.13412317044575514,-0.37677852683499113
-0.13103910587269957,-0.3764686623880305
-0.13008872712154654,-0.37629522360853623
-0.12872967105563013,-0.3761860219783531
-0.12516749631644122,-0.3760211891026788
-0.12036776545045366,-0.37543644275933374
-0.11564838445768007,-0.37435209279124976
-0.11342437673515968,-0.37362090992889396
-0.11154623312443006,-0.3730365021522717
-0.10779834385673875,-0.3720307718974593
-0.10323385951810145,-0.3704725125017422
-0.09896082701087679,-0.3685953393403964
-0.09553474648387861,-0.36674399117584466
-0.09369228868280374,-0.36569336745543496
-0.08998255861561882,-0.3637549608559545
-0.08590741296219717,-0.3613084983309309
-0.08195342190125585,-0.3585739372138574
-0.07824780926479412,-0.3556760904055834
-0.07469891656536815,-0.35257395342585385
-0.07129851025696866,-0.34929816551525816
-0.06803732604645317,-0.34587328299611075
-0.06489454189286478,-0.34230590263687466
-0.061836725562362506,-0.3385908979296145
-0.0588893176471983,-0.33478742364478764
-0.05607049607196203,-0.33087503751422204
-0.05346087794216712,-0.3268159140232361
-0.051045919230227034,-0.3226402108198324
-0.04880913056018069,-0.31837089311498823
-0.046734375265039076,-0.3140249927112672
-0.0448067803923645,-0.3096152560573809
-0.04301291557411543,-0.3051515177117989
-0.04134067314966821,-0.3006416606194918
-0.03977907790101785,-0.2960922218375718
-0.03831812319811069,-0.29150876053169084
-0.0369486468930153,-0.28689609113038533
-0.03566223057119259,-0.2822583387248929
-0.034451173105334125,-0.27759905703876336
-0.033308440132568576,-0.27292130307501095
-0.03222761911984127,-0.2682276975372591
-0.031202877279333397,-0.2635204791787295
-0.030228922200554835,-0.2588015548722785
-0.029300963311196884,-0.25407254486864156
-0.028414667512065735,-0.24933482518211314
-0.027566114811614622,-0.24458956562374723
-0.026751757910044787,-0.23983776225498707
-0.02596838633205157,-0.23508026480330155
-0.025213095003899295,-0.2303177996101375
-0.024483256679731013,-0.22555098878272697
-0.02377649738972777,-0.2207803662110033
-0.02309067407947453,-0.21600642681753374
-0.022423867553782482,-0.21122973636376116
-0.02177437395115433,-0.20645065487911082
-0.021140656121109883,-0.20166945084917953
-0.020521322402525334,-0.19688635820238187
-0.01991511190756229,-0.19210158130770352
-0.01932088102741688,-0.18731529923502183
-0.01873759134519232,-0.1825276693545318
-0.01816429905866671,-0.17773883035162832
-0.017600145884728514,-0.17294890473747832
-0.017044351288721258,-0.16815800093840716
-0.016496205791717403,-0.16336621504579946
-0.015955065073632157,-0.15857363230054805
-0.015420344609271094,-0.1537803283732848
-0.01489151463449981,-0.1489863704870743
-0.01451376632861981,-0.14416062574339325
-0.014717801288542222,-0.13927521013126185
-0.015466545264412747,-0.13444815707924
-0.01585207596653515,-0.133297236946697
-0.016118477877015105,-0.13222781979881632
-0.016556613492691337,-0.12905580510569362
-0.01744463017000257,-0.12432419740517384
-0.01878855821924021,-0.11966951442042571
-0.020380443863585403,-0.11555242598762622
-0.021380007776947922,-0.11344274082683771
-0.022409818414285406,-0.11099927193799397
-0.02422793369309522,-0.10667766421923297
-0.026431671732167764,-0.10239882936416231
-0.028858348825407533,-0.09838215475580742
-0.031540601138305945,-0.09451867895833552
-0.03443897204881427,-0.09080381557351302
-0.03752175174977482,-0.0872299235718019
-0.040763525102964986,-0.08378869260435319
-0.0441435827559759,-0.08047201636908156
-0.04767396013416038,-0.07724440087800177
-0.05132090325677435,-0.07410645968976269
-0.05505280395020825,-0.0710680491185429
-0.05886077289308806,-0.0681229658235072
-0.0627367229118975,-0.06526531820220059
-0.0666733220720921,-0.06248946106291575
-0.0706092610616084,-0.059709626838503074
-0.07438052529783647,-0.05668683559840502
-0.07798598256051778,-0.053463318100748156
-0.08143472707601362,-0.050078596999299826
-0.0847392892999422,-0.0465613574196814
-0.08791245807798165,-0.04293218396642362
-0.09096608447730996,-0.03920674588805727
-0.09391075102628255,-0.03539695014780326
-0.09675552777732203,-0.031512641992812195
-0.09950851631193225,-0.027562321539824346
-0.10217708191910412,-0.023553512594534146
-0.10476801648075108,-0.019492949364552578
-0.10728764693091816,-0.015386605876559854
-0.10974184870816932,-0.011239775882564125
-0.11213607478173532,-0.007057129672825033
-0.11447537412000035,-0.0028427703318566443
-0.11676440708228492,0.0013997081787312587
-0.11900746006697578,0.005667163694945172
-0.12120846135836066,0.009956851513561802
-0.12337100486222773,0.014266371104857603
-0.12549837652260504,0.018593617763850316
-0.1275935796546956,0.02293674099443776
-0.1296593581892596,0.027294109410605873
-0.1304801625904321,0.029039192371239482
-0.1326609895260398,0.033327749093154245
-0.13480433379634083,0.03764931409539251
-0.13690609876510484,0.04199014711822278
-0.13897183633765509,0.04634771839285127
-0.14100576808830367,0.05071987540623525
-0.14301077386850247,0.05510526312519466
-0.14498923253008528,0.059502742250897724
-0.1469434625145514,0.06391116635998598
